dim,s,time,sampled,sieved,compared,num_short
47,100,332.072,4864,312124,3028729801,14
47,1000,502.928,5006,476726,4625988469,91
48,10,223.937,5635,175253,1993646071,69
48,100,463.949,5476,369339,4151704362,90
48,1000,706.798,5560,564273,6334847554,89
49,10,317.986,6432,208010,2750229497,86
49,100,658.558,6426,435796,5695319766,95
49,1000,994.958,6500,663789,8633798897,96
50,10,502.145,7506,244073,3729614546,89
50,100,1050.847,7445,514902,7818449885,0
50,1000,1549.25,7382,783922,11813898196,94
20,10,0.023,113,1535,294045,35
20,100,0.036,125,3055,582567,37
20,1000,0.051,115,4553,838540,3
21,10,0.026,128,1883,412958,40
21,100,0.05,148,3642,808484,3
21,1000,0.072,125,5527,1205221,2
22,10,0.034,139,2040,520004,1
22,100,0.065,133,4263,1034064,43
22,1000,0.099,137,6508,1593651,44
23,10,0.055,164,2799,851476,46
23,100,0.098,176,5408,1549711,43
23,1000,0.141,163,7823,2251680,45
24,10,0.069,186,3100,1026011,40
24,100,0.135,182,6255,2059457,38
24,1000,0.198,200,9245,3044126,48
25,10,0.099,217,3823,1477441,49
25,100,0.178,194,7146,2716647,2
25,1000,0.27,208,10879,4145269,7
26,10,0.138,259,4416,1996544,51
26,100,0.26,228,8748,3832312,50
26,1000,0.395,250,13324,5854016,52
27,10,0.192,314,5200,2754709,1
27,100,0.377,283,10543,5401431,17
27,1000,0.542,276,15580,7865821,53
28,10,0.253,301,6204,3575792,50
28,100,0.516,331,12530,7438486,9
28,1000,0.764,318,18917,11057084,55
29,10,0.362,371,7259,5072670,18
29,100,0.693,340,14555,9720681,58
29,1000,1.02,354,21441,14441836,1
30,10,0.535,422,8951,7127101,56
30,100,1.44,430,18008,14274704,55
30,1000,2.126,423,26522,21070942,0
31,10,0.919,473,9867,9092960,3
31,100,1.9,486,20610,18756409,61
31,1000,2.849,485,31168,28246487,56
32,10,0.982,560,12004,12728809,54
32,100,1.986,585,24577,25945644,43
32,1000,2.983,574,37041,38973728,13
33,10,1.437,645,14499,18170366,9
33,100,2.839,626,29573,36313988,58
33,1000,4.293,646,44661,54704712,3
34,10,2.006,739,17262,24904960,52
34,100,4.057,749,35406,50635936,67
34,1000,6.04,721,53043,74900398,57
35,10,2.789,855,20392,34151080,61
35,100,5.518,869,41193,67427454,9
35,1000,8.413,881,63099,103487426,10
36,10,3.823,1006,23771,45792591,64
